company_id,name,normalized_name,industry,inn,primary_site,primary_email,data_quality_score,has_support_team,support_team_size,support_channels_count,has_24_7_support,support_vacancies,total_vacancies,data_sources,description,emails,last_updated,metadata,sites,source,sources,support_info
C0022,VK,VK,it,7743001840,https://m.vk.com/,,81,True,10,2,False,5,5,"enriched, jobs_detailed, jobs_simple",Отрасль: it | Размер команды поддержки: 10 | Каналы поддержки: 2,[],2025-12-23T17:34:28.090739,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'ВКонтакте | Добро пожаловать', 'analysis_success': True}","['https://m.vk.com/', 'https://hh.ru/employer/15478', 'https://vk.com', 'https://id.vk.com/about/faq/users/registration_and_login/login?utm_source=auth_help_mvk&utm_medium=organic&utm_content=init-ENTER_LOGIN']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 10, 'channels': {'email': False, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://m.vk.com/', 'support_vacancies': 5, 'vacancy_details': ""[{'name': 'Модератор в команду модерации ВКонтакте', 'url': 'https://hh.ru/vacancy/125886321', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Специалист отдела персонала в VK', 'url': 'https://hh.ru/vacancy/128441684', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Специалист поддержки пользователей в Mail', 'url': 'https://hh.ru/vacancy/128334284', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Специалист поддержки в Одноклассники', 'url': 'https://hh.ru/vacancy/128477456', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Руководитель клиентских проектов в VK Predict', 'url': 'https://hh.ru/vacancy/128908140', 'schedule': 'Полный день', 'estimated_size': 3}]"", 'total_vacancies': 5}"
C0028,2ГИС,2ГИС,it,НЕ_НАЙДЕН,https://2gis.ru,,81,True,1,2,False,1,1,"enriched, jobs_detailed, jobs_simple",Отрасль: it | Размер команды поддержки: 1 | Каналы поддержки: 2,[],2025-12-23T17:34:28.091739,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Карта городов России: подробные карты с поиском по адресу — 2ГИС', 'analysis_success': True}","['https://2gis.ru', 'https://hh.ru/employer/64174', 'https://help.2gis.ru/question/kuda-propal-otzyv?utm_source=v5online', 'https://2gis.ru/ufa']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 1, 'channels': {'email': False, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://2gis.ru/ufa', 'support_vacancies': 1, 'vacancy_details': ""[{'name': 'Специалист службы поддержки пользователей (сервис Отелло)', 'url': 'https://hh.ru/vacancy/128824078', 'schedule': 'Удаленная работа', 'estimated_size': 1}]"", 'total_vacancies': 1}"
C0021,Яндекс,ЯНДЕКС,it,7736207543,https://yandex.ru,,75,True,10,0,False,5,5,"enriched, jobs_detailed, jobs_simple",Отрасль: it | Размер команды поддержки: 10,[],2025-12-23T17:34:28.090739,"{'parsing_success': True, 'parsing_method': 'requests', 'data_source': 'company_site_improved', 'analysis_success': True}","['https://yandex.ru', 'https://sso.passport.yandex.ru/push?uuid=3042a139-36dd-4e19-b002-76320af58c62&retpath=https%3A%2F%2Fdzen.ru%2F%3Fyredirect%3Dtrue%26is_autologin_ya%3Dtrue', 'https://hh.ru/employer/1740']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 10, 'channels': {'email': False, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': False, 'kb_faq': False, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://sso.passport.yandex.ru/push?uuid=3042a139-36dd-4e19-b002-76320af58c62&retpath=https%3A%2F%2Fdzen.ru%2F%3Fyredirect%3Dtrue%26is_autologin_ya%3Dtrue', 'support_vacancies': 5, 'vacancy_details': ""[{'name': 'Специалист чат-поддержки Авто.ру', 'url': 'https://hh.ru/vacancy/128828867', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Специалист по верификации партнёров', 'url': 'https://hh.ru/vacancy/128258879', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Модератор (сервис Авто.ру)', 'url': 'https://hh.ru/vacancy/128052890', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Специалист письменной поддержки Яндекс Аренда', 'url': 'https://hh.ru/vacancy/128624203', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Менеджер маркетинговых проектов в Маркет', 'url': 'https://hh.ru/vacancy/128664811', 'schedule': 'Полный день', 'estimated_size': 3}]"", 'total_vacancies': 5}"
C0025,Авито,АВИТО,it,7724458880,https://support.avito.ru,,71,False,0,2,False,0,0,"enriched, jobs_detailed",Отрасль: it | Каналы поддержки: 2,[],2025-12-23T17:34:28.080740,"{'parsing_success': True, 'parsing_method': 'requests', 'data_source': 'company_site_improved', 'page_title': 'Авито — Объявления на сайте Авито', 'analysis_success': False}","['https://support.avito.ru', 'https://www.avito.ru', 'https://m.avito.ru/all/predlozheniya_uslug/krasota-ASgBAgICAUSYC6qfAQ?context=H4sIAAAAAAAA_0q0MrSqLraysFJKK8rPDUhMT1WyBnOLM_KLSpJLS5SsawEBAAD__7D1u_8kAAAA', 'https://m.avito.ru/']",seed,"['enriched', 'jobs_detailed']","{'team_size': 0, 'channels': {'email': False, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://m.avito.ru/', 'support_vacancies': 0, 'vacancy_details': '[]'}"
C0026,Дром,ДРОМ,it,НЕ_НАЙДЕН,https://hh.ru/employer/1781300,,71,False,0,2,False,0,0,"enriched, jobs_detailed, jobs_simple",Отрасль: it | Каналы поддержки: 2,[],2025-12-23T17:34:28.090739,"{'parsing_success': True, 'parsing_method': 'requests', 'data_source': 'company_site_improved', 'page_title': 'Ð\x94Ñ\x80Ð¾Ð¼ - Ñ\x86ÐµÐ½Ñ\x8b Ð½Ð° Ð¼Ð°Ñ\x88Ð¸Ð½Ñ\x8b', 'analysis_success': True}","['https://hh.ru/employer/1781300', 'https://www.drom.ru/faq/', 'https://www.drom.ru', 'https://my.drom.ru/help/VozniklaProblemanaDrome', 'https://www.drom.ru/']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 0, 'channels': {'email': False, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://www.drom.ru/', 'support_vacancies': 0, 'vacancy_details': '[]', 'total_vacancies': 0}"
C0027,Юла,ЮЛА,it,НЕ_НАЙДЕН,https://help.mail.ru/legal/terms/youla/recommendation?preset.hidden_ua=YoulaWEB%20Mozilla%2F5.0%20(Linux%3B%20Android%2010%3B%20K)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F135.0.0.0%20Mobile%20Safari%2F537.36%20User_is_promoted%3A%200,,71,False,0,2,False,0,0,"enriched, jobs_detailed, jobs_simple",Отрасль: it | Каналы поддержки: 2,[],2025-12-23T17:34:28.091739,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Юла - доска объявлений в Уфе, бесплатные частные объявления', 'analysis_success': True}","['https://help.mail.ru/legal/terms/youla/recommendation?preset.hidden_ua=YoulaWEB%20Mozilla%2F5.0%20(Linux%3B%20Android%2010%3B%20K)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F135.0.0.0%20Mobile%20Safari%2F537.36%20User_is_promoted%3A%200', 'https://youla.ru/', 'https://youla.ru', 'https://hh.ru/employer/4562332']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 0, 'channels': {'email': False, 'contact_form': False, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': False, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://youla.ru/', 'chat_vendor': 'jivo', 'support_vacancies': 0, 'vacancy_details': '[]', 'total_vacancies': 0}"
C0023,Рамблер,РАМБЛЕР,it,НЕ_НАЙДЕН,https://rambler.ru,,68,False,0,1,False,0,0,"enriched, jobs_detailed",Отрасль: it | Каналы поддержки: 1,[],2025-12-23T17:34:28.080740,"{'parsing_success': True, 'parsing_method': 'requests', 'data_source': 'company_site_improved', 'page_title': 'Рамблер — медийный портал: новости России и мира, почта, поиск, погода', 'analysis_success': False}","['https://rambler.ru', 'https://help.rambler.ru/legal/1430/?p=id', 'https://www.rambler.ru/']",seed,"['enriched', 'jobs_detailed']","{'team_size': 0, 'channels': {'email': False, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': True, 'kb_faq': False, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://www.rambler.ru/', 'support_vacancies': 0, 'vacancy_details': '[]'}"
C0024,1С,1С,it,НЕ_НАЙДЕН,https://1c.ru,,68,False,0,1,False,0,0,"enriched, jobs_detailed",Отрасль: it | Каналы поддержки: 1,[],2025-12-23T17:34:28.080740,"{'parsing_success': True, 'parsing_method': 'requests', 'data_source': 'company_site_improved', 'page_title': 'Фирма «1С»', 'analysis_success': False}","['https://1c.ru', 'https://1c.ru/', 'https://1c.ru/rus/support/predpr-service.htm']",seed,"['enriched', 'jobs_detailed']","{'team_size': 0, 'channels': {'email': False, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': True, 'kb_faq': False, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://1c.ru/', 'support_vacancies': 0, 'vacancy_details': '[]'}"
